fold,horizon_minutes,model,wape,accuracy,mae,rmse,mean_station_wape,train_end,validation_end,seed,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,random_state
1,15,baseline_daily,0.21033225021868907,78.9667749781311,74.69233630952381,119.64057189537495,0.2225434133627507,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,15,baseline_last,0.17471483122093967,82.52851687790603,62.044022817460316,100.26633741021325,0.17622459037896784,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,15,baseline_weekly,0.16153237732897294,83.8467622671027,57.362723214285715,94.06807219955807,0.16341697651347606,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,15,gradient_boosting,0.13267917353132735,86.73208264686727,47.116490411564136,74.56436987174405,0.1356264321670328,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,30,baseline_daily,0.21033225021868907,78.9667749781311,74.69233630952381,119.64057189537495,0.2225434133627507,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,30,baseline_last,0.2181132154536772,78.18867845463228,77.45548115079364,123.42545676632592,0.2201609469376046,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,30,baseline_weekly,0.16153237732897294,83.8467622671027,57.362723214285715,94.06807219955807,0.16341697651347606,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,30,gradient_boosting,0.1369197887140649,86.30802112859351,48.622400489828316,77.68156890825422,0.14044364291629677,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,45,baseline_daily,0.21033225021868907,78.9667749781311,74.69233630952381,119.64057189537495,0.2225434133627507,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,45,baseline_last,0.27701521307559746,72.29847869244026,98.37251984126983,155.60421547952998,0.27954954355384615,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,45,baseline_weekly,0.16153237732897294,83.8467622671027,57.362723214285715,94.06807219955807,0.16341697651347606,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,45,gradient_boosting,0.1393068596878392,86.06931403121608,49.47008746024047,77.90131151554878,0.1430883737201252,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,60,baseline_daily,0.21033225021868907,78.9667749781311,74.69233630952381,119.64057189537495,0.2225434133627507,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,60,baseline_last,0.34197939346743933,65.80206065325606,121.44233630952381,189.6330386829232,0.34351299636678206,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,60,baseline_weekly,0.16153237732897294,83.8467622671027,57.362723214285715,94.06807219955807,0.16341697651347606,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
1,60,gradient_boosting,0.14237660192292326,85.76233980770768,50.560201882389485,79.33915463521768,0.14712129295895404,2026-08-19T00:00:00+00:00,2026-08-26T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,15,baseline_daily,0.22015546986179643,77.98445301382036,78.25235615079364,125.419894456961,0.23153628446826993,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,15,baseline_last,0.17576132679337916,82.42386732066208,62.47284226190476,101.53233159993445,0.17743695180938457,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,15,baseline_weekly,0.16957665321484755,83.04233467851525,60.27455357142857,99.49041914669034,0.17099395748551136,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,15,gradient_boosting,0.13574401515964357,86.42559848403563,48.24903522169742,77.02043575839997,0.13870465390747022,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,30,baseline_daily,0.22015546986179643,77.98445301382036,78.25235615079364,125.419894456961,0.23153628446826993,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,30,baseline_last,0.221600200120086,77.8399799879914,78.76587301587301,126.94740974620098,0.22246578160981867,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,30,baseline_weekly,0.16957665321484755,83.04233467851525,60.27455357142857,99.49041914669034,0.17099395748551136,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,30,gradient_boosting,0.13914001444042448,86.08599855595756,49.45611377111675,78.9195950552192,0.1425110088167499,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,45,baseline_daily,0.22015546986179643,77.98445301382036,78.25235615079364,125.419894456961,0.23153628446826993,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,45,baseline_last,0.27931405142346577,72.06859485765342,99.2797619047619,157.02815280646183,0.28176245315706444,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,45,baseline_weekly,0.16957665321484755,83.04233467851525,60.27455357142857,99.49041914669034,0.17099395748551136,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,45,gradient_boosting,0.1448153266785439,85.5184673321456,51.47335438204987,81.66280799971045,0.14905941259120406,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,60,baseline_daily,0.22015546986179643,77.98445301382036,78.25235615079364,125.419894456961,0.23153628446826993,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,60,baseline_last,0.34331131058769926,65.66886894123007,122.02703373015873,191.02755179720782,0.34581700497201934,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,60,baseline_weekly,0.16957665321484755,83.04233467851525,60.27455357142857,99.49041914669034,0.17099395748551136,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
2,60,gradient_boosting,0.14819445906489906,85.1805540935101,52.674437739841245,81.80943789928911,0.15389177513700403,2026-08-26T00:00:00+00:00,2026-09-02T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,15,baseline_daily,0.21026295596036015,78.97370440396398,76.31820436507937,122.98483985163917,0.22131555676295123,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,15,baseline_last,0.1736217924846103,82.63782075153897,63.018725198412696,100.93008627990098,0.1749206981019444,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,15,baseline_weekly,0.16723358139553954,83.27664186044605,60.700024801587304,100.07394401557947,0.1688794432024324,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,15,gradient_boosting,0.1309822573276195,86.90177426723805,47.54204390055869,74.94980936742283,0.13406857071428888,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,30,baseline_daily,0.21026295596036015,78.97370440396398,76.31820436507937,122.98483985163917,0.22131555676295123,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,30,baseline_last,0.2193946334653705,78.06053665346295,79.6326884920635,125.16674394455796,0.2215090439833127,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,30,baseline_weekly,0.16723358139553954,83.27664186044605,60.700024801587304,100.07394401557947,0.1688794432024324,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,30,gradient_boosting,0.13516028452628812,86.48397154737118,49.058523739503606,77.52625610038615,0.13789030587439452,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,45,baseline_daily,0.21026295596036015,78.97370440396398,76.31820436507937,122.98483985163917,0.22131555676295123,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,45,baseline_last,0.2803747513626794,71.96252486373206,101.76636904761905,158.50065094253193,0.28189136079733007,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,45,baseline_weekly,0.16723358139553954,83.27664186044605,60.700024801587304,100.07394401557947,0.1688794432024324,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,45,gradient_boosting,0.1394966750180394,86.05033249819606,50.6324839943887,79.75861087564643,0.14296467821363487,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,60,baseline_daily,0.21026295596036015,78.97370440396398,76.31820436507937,122.98483985163917,0.22131555676295123,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,60,baseline_last,0.3439729493528084,65.60270506471916,124.85032242063492,193.72536741777208,0.3454118241952071,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,60,baseline_weekly,0.16723358139553954,83.27664186044605,60.700024801587304,100.07394401557947,0.1688794432024324,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
3,60,gradient_boosting,0.142378343241342,85.7621656758658,51.67843021622259,81.34068298385071,0.14612722558145788,2026-09-02T00:00:00+00:00,2026-09-09T00:00:00+00:00,42,0.08,250,31,30,1.0,42
