horizon_minutes,model,mean_station_wape,accuracy_pct,mae,train_rows,validation_rows,version
15,baseline_last,0.1742098777335379,82.57901222664621,62.77529761904762,35700,8064,h1_20260918T224757Z
15,baseline_daily,0.2210917484897407,77.89082515102594,76.23983134920636,35700,8064,h1_20260918T224757Z
15,baseline_weekly,0.16887703033382548,83.11229696661745,60.77467757936508,35700,8064,h1_20260918T224757Z
15,gradient_boosting,0.1325428434534952,86.74571565465048,47.099418743141435,35700,8064,h1_20260918T224757Z
30,baseline_last,0.22060739927602868,77.93926007239713,79.39112103174604,35688,8064,h2_20260918T224759Z
30,baseline_daily,0.2210917484897407,77.89082515102594,76.23983134920636,35688,8064,h2_20260918T224759Z
30,baseline_weekly,0.16887703033382548,83.11229696661745,60.77467757936508,35688,8064,h2_20260918T224759Z
30,gradient_boosting,0.13807059044882689,86.19294095511731,48.97866307347758,35688,8064,h2_20260918T224759Z
45,baseline_last,0.2812945844521872,71.87054155478127,101.593998015873,35676,8064,h3_20260918T224759Z
45,baseline_daily,0.2210917484897407,77.89082515102594,76.23983134920636,35676,8064,h3_20260918T224759Z
45,baseline_weekly,0.16887703033382548,83.11229696661745,60.77467757936508,35676,8064,h3_20260918T224759Z
45,gradient_boosting,0.1446901726417881,85.5309827358212,50.97342073820656,35676,8064,h3_20260918T224759Z
60,baseline_last,0.34524462017082996,65.475537982917,124.87053571428572,35664,8064,h4_20260918T224801Z
60,baseline_daily,0.2210917484897407,77.89082515102594,76.23983134920636,35664,8064,h4_20260918T224801Z
60,baseline_weekly,0.16887703033382548,83.11229696661745,60.77467757936508,35664,8064,h4_20260918T224801Z
60,gradient_boosting,0.1489823533231075,85.10176466768925,52.38438906127393,35664,8064,h4_20260918T224801Z
